Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,304.0,287.0,119.0,184.0,371.0,317.0,354.0,470.0,557.0,645.0,748.0,937.0,1127.0,142.0,1856.0,2417.0,2932.0,3514.0,3256.0,3673.0,4131.0,4736.0,5118.0,5927.0,6406.0
Algeria,520.0,605.0,635.0,678.0,749.0,866.0,901.0,988.0,1166.0,1234.0,1443.0,1638.0,1743.0,1772.0,1912.0,207.0,2395.0,2634.0,2733.0,2301.0,171.0,2039.0,2451.0,2657.0,2371.0
Anguilla,107.0,86.0,114.0,114.0,107.0,112.0,105.0,111.0,109.0,121.0,143.0,167.0,164.0,128.0,112.0,118.0,124.0,129.0,151.0,177.0,186.0,176.0,151.0,87.0,166.0
Aruba,912.0,957.0,947.0,906.0,972.0,1211.0,1178.0,1225.0,1184.0,1304.0,1286.0,1285.0,1254.0,1383.0,142.0,1394.0,1469.0,1481.0,1667.0,1739.0,1832.0,1758.0,1863.0,1897.0,1951.0
Azerbaijan,93.0,210.0,306.0,483.0,602.0,681.0,767.0,834.0,1038.0,1279.0,1177.0,1194.0,1333.0,1899.0,183.0,1963.0,2239.0,2484.0,2509.0,2298.0,2006.0,2249.0,2697.0,285.0,3168.0
Bahamas,3239.0,3416.0,3446.0,3348.0,3648.0,4204.0,4183.0,4406.0,4594.0,5004.0,4779.0,4731.0,4601.0,4394.0,4645.0,5255.0,5588.0,594.0,6151.0,632.0,6112.0,6265.0,6136.0,6622.0,725.0
Bahrain,2311.0,1988.0,26.0,2898.0,328.0,3869.0,4388.0,4831.0,4844.0,5667.0,6313.0,7289.0,7833.0,8631.0,8861.0,11952.0,6732.0,8062.0,9163.0,10452.0,967.0,10158.0,11374.0,12045.0,11061.0
Bermuda,557.0,570.0,562.0,558.0,549.0,539.0,458.0,484.0,483.0,478.0,517.0,635.0,660.0,550.0,554.0,580.0,652.0,610.0,576.0,580.0,597.0,642.0,688.0,766.0,805.0
Bulgaria,8005.0,6811.0,7543.0,524.0,5056.0,4922.0,5104.0,5563.0,6241.0,6982.0,7282.0,7499.0,7726.0,8533.0,7873.0,8374.0,8713.0,8867.0,9192.0,9409.0,9317.0,10604.0,11596.0,12368.0,12552.0
Cayman Islands,1044.0,1173.0,1248.0,1275.0,1431.0,1385.0,1549.0,1878.0,2113.0,1953.0,1967.0,2197.0,2008.0,1856.0,1792.0,1886.0,171.0,1829.0,1721.0,1993.0,2102.0,2097.0,2147.0,2384.0,2334.0
Costa Rica,924.0,940.0,1013.0,1167.0,1267.0,1278.0,132.0,1335.0,1514.0,1771.0,1959.0,2071.0,2302.0,2409.0,2309.0,2495.0,2526.0,2542.0,2641.0,276.0,2899.0,3204.0,3231.0,3313.0,3366.0
Croatia,161.0,19085.0,2366.0,25499.0,29215.0,37226.0,40129.0,41737.0,42857.0,44974.0,45762.0,47733.0,52271.0,51336.0,47573.0,49006.0,49969.0,47185.0,48345.0,51168.0,55858.0,57587.0,59238.0,57668.0,60021.0
Curacao,396.0,387.0,422.0,437.0,433.0,514.0,519.0,545.0,508.0,452.0,510.0,572.0,664.0,773.0,808.0,762.0,837.0,908.0,1071.0,1129.0,1072.0,944.0,1058.0,121.0,1293.0
