No,Country,Tahun,Jumlah
0,Albania,1995,304
1,Algeria,1995,520
2,Anguilla,1995,107
3,Aruba,1995,912
4,Azerbaijan,1995,93
5,Bahamas,1995,3239
6,Bahrain,1995,2311
7,Bermuda,1995,557
8,Bulgaria,1995,8005
9,Cayman Islands,1995,1044
10,Costa Rica,1995,924
11,Croatia,1995,161
12,Curacao,1995,396
13,Dominican Republic,1995,1806
14,Georgia,1995,85
15,Grenada,1995,369
16,Guatemala,1995,563
17,Haiti,1995,370
18,Hong Kong China,1995,102
19,Hungary,1995,3924
20,Iceland,1995,211
21,Indonesia,1995,4324
22,Italy,1995,55706
23,Jamaica,1995,1752
24,Japan,1995,3345
25,Jordan,1995,3277
26,Korea Republic Of,1995,3753
27,Lao People S Democratic Republic,1995,346
28,Latvia,1995,1633
29,Lesotho,1995,209
30,Macao China,1995,7752
31,Malta,1995,1193
32,Martinique,1995,885
33,Mauritius,1995,437
34,Mongolia,1995,108
35,Namibia,1995,421
36,New Caledonia,1995,122
37,New Zealand,1995,1409
38,Nicaragua,1995,341
39,Romania,1995,5445
40,Seychelles,1995,127
41,Singapore,1995,7137
42,Sint Maarten Dutch Part,1995,1024
43,South Africa,1995,4684
44,Spain,1995,5246
45,Sri Lanka,1995,414
46,Taiwan Province Of China,1995,2332
47,Trinidad And Tobago,1995,282
48,United Kingdom,1995,23537
49,United States Of America,1995,79732
50,United States Virgin Islands,1995,1741
51,Vanuatu,1995,82
52,Viet Nam,1995,1351
53,Albania,1996,287
54,Algeria,1996,605
55,Anguilla,1996,86
56,Aruba,1996,957
57,Azerbaijan,1996,210
58,Bahamas,1996,3416
59,Bahrain,1996,1988
60,Bermuda,1996,570
61,Bulgaria,1996,6811
62,Cayman Islands,1996,1173
63,Costa Rica,1996,940
64,Croatia,1996,19085
65,Curacao,1996,387
66,Dominican Republic,1996,2037
67,Georgia,1996,117
68,Grenada,1996,386
69,Guatemala,1996,520
70,Haiti,1996,400
71,Hong Kong China,1996,12974
72,Hungary,1996,39833
73,Iceland,1996,223
74,Indonesia,1996,5034
75,Italy,1996,59805
76,Jamaica,1996,1821
77,Japan,1996,3837
78,Jordan,1996,3164
79,Korea Republic Of,1996,3684
80,Lao People S Democratic Republic,1996,403
81,Latvia,1996,175
82,Lesotho,1996,312
83,Macao China,1996,8151
84,Malta,1996,1123
85,Martinique,1996,885
86,Mauritius,1996,509
87,Mongolia,1996,71
88,Namibia,1996,560
89,New Caledonia,1996,138
90,New Zealand,1996,1529
91,Nicaragua,1996,388
92,Romania,1996,5205
93,Seychelles,1996,142
94,Singapore,1996,7292
95,Sint Maarten Dutch Part,1996,1022
96,South Africa,1996,5186
97,Spain,1996,55077
98,Sri Lanka,1996,315
99,Taiwan Province Of China,1996,2358
100,Trinidad And Tobago,1996,317
101,United Kingdom,1996,25163
102,United States Of America,1996,82756
103,United States Virgin Islands,1996,1779
104,Vanuatu,1996,103
105,Viet Nam,1996,1607
106,Albania,1997,119
107,Algeria,1997,635
108,Anguilla,1997,114
109,Aruba,1997,947
110,Azerbaijan,1997,306
111,Bahamas,1997,3446
112,Bahrain,1997,26
113,Bermuda,1997,562
114,Bulgaria,1997,7543
115,Cayman Islands,1997,1248
116,Costa Rica,1997,1013
117,Croatia,1997,2366
118,Curacao,1997,422
119,Dominican Republic,1997,2482
120,Georgia,1997,313
121,Grenada,1997,368
122,Guatemala,1997,576
123,Haiti,1997,387
124,Hong Kong China,1997,11273
125,Hungary,1997,37315
126,Iceland,1997,223
127,Indonesia,1997,5185
128,Italy,1997,57998
129,Jamaica,1997,1904
130,Japan,1997,4218
131,Jordan,1997,3068
132,Korea Republic Of,1997,3908
133,Lao People S Democratic Republic,1997,463
134,Latvia,1997,1842
135,Lesotho,1997,313
136,Macao China,1997,7
137,Malta,1997,1238
138,Martinique,1997,900
139,Mauritius,1997,558
140,Mongolia,1997,82
141,Namibia,1997,610
142,New Caledonia,1997,139
143,New Zealand,1997,1497
144,Nicaragua,1997,453
145,Romania,1997,5149
146,Seychelles,1997,136
147,Singapore,1997,7198
148,Sint Maarten Dutch Part,1997,1325
149,South Africa,1997,517
150,Spain,1997,62415
151,Sri Lanka,1997,384
152,Taiwan Province Of China,1997,2372
153,Trinidad And Tobago,1997,360
154,United Kingdom,1997,25515
155,United States Of America,1997,82525
156,United States Virgin Islands,1997,2128
157,Vanuatu,1997,81
158,Viet Nam,1997,1716
159,Albania,1998,184
160,Algeria,1998,678
161,Anguilla,1998,114
162,Aruba,1998,906
163,Azerbaijan,1998,483
164,Bahamas,1998,3348
165,Bahrain,1998,2898
166,Bermuda,1998,558
167,Bulgaria,1998,524
168,Cayman Islands,1998,1275
169,Costa Rica,1998,1167
170,Croatia,1998,25499
171,Curacao,1998,437
172,Dominican Republic,1998,2702
173,Georgia,1998,317
174,Grenada,1998,392
175,Guatemala,1998,636
176,Haiti,1998,393
177,Hong Kong China,1998,1016
178,Hungary,1998,33624
179,Iceland,1998,255
180,Indonesia,1998,4606
181,Italy,1998,58499
182,Jamaica,1998,1899
183,Japan,1998,4106
184,Jordan,1998,3438
185,Korea Republic Of,1998,425
186,Lao People S Democratic Republic,1998,500
187,Latvia,1998,1788
188,Lesotho,1998,290
189,Macao China,1998,6949
190,Malta,1998,1326
191,Martinique,1998,964
192,Mauritius,1998,579
193,Mongolia,1998,197
194,Namibia,1998,681
195,New Caledonia,1998,127
196,New Zealand,1998,1485
197,Nicaragua,1998,483
198,Romania,1998,4831
199,Seychelles,1998,134
200,Singapore,1998,6242
201,Sint Maarten Dutch Part,1998,1339
202,South Africa,1998,5898
203,Spain,1998,68068
204,Sri Lanka,1998,409
205,Taiwan Province Of China,1998,2299
206,Trinidad And Tobago,1998,377
207,United Kingdom,1998,25745
208,United States Of America,1998,74767
209,United States Virgin Islands,1998,2139
210,Vanuatu,1998,78
211,Viet Nam,1998,152
212,Albania,1999,371
213,Algeria,1999,749
214,Anguilla,1999,107
215,Aruba,1999,972
216,Azerbaijan,1999,602
217,Bahamas,1999,3648
218,Bahrain,1999,328
219,Bermuda,1999,549
220,Bulgaria,1999,5056
221,Cayman Islands,1999,1431
222,Costa Rica,1999,1267
223,Croatia,1999,29215
224,Curacao,1999,433
225,Dominican Republic,1999,2932
226,Georgia,1999,384
227,Grenada,1999,379
228,Guatemala,1999,823
229,Haiti,1999,386
230,Hong Kong China,1999,11328
231,Hungary,1999,28803
232,Iceland,1999,281
233,Indonesia,1999,4728
234,Italy,1999,59521
235,Jamaica,1999,2013
236,Japan,1999,4438
237,Jordan,1999,3231
238,Korea Republic Of,1999,466
239,Lao People S Democratic Republic,1999,614
240,Latvia,1999,1738
241,Lesotho,1999,308
242,Macao China,1999,7444
243,Malta,1999,1402
244,Martinique,1999,903
245,Mauritius,1999,600
246,Mongolia,1999,160
247,Namibia,1999,694
248,New Caledonia,1999,151
249,New Zealand,1999,1607
250,Nicaragua,1999,530
251,Romania,1999,5224
252,Seychelles,1999,130
253,Singapore,1999,6958
254,Sint Maarten Dutch Part,1999,1061
255,South Africa,1999,6026
256,Spain,1999,7204
257,Sri Lanka,1999,465
258,Taiwan Province Of China,1999,2411
259,Trinidad And Tobago,1999,421
260,United Kingdom,1999,25394
261,United States Of America,1999,75796
262,United States Virgin Islands,1999,1964
263,Vanuatu,1999,96
264,Viet Nam,1999,1782
265,Albania,2000,317
266,Algeria,2000,866
267,Anguilla,2000,112
268,Aruba,2000,1211
269,Azerbaijan,2000,681
270,Bahamas,2000,4204
271,Bahrain,2000,3869
272,Bermuda,2000,539
273,Bulgaria,2000,4922
274,Cayman Islands,2000,1385
275,Costa Rica,2000,1278
276,Croatia,2000,37226
277,Curacao,2000,514
278,Dominican Republic,2000,3161
279,Georgia,2000,387
